"Service Name","Retiring Feature","Retirement Date","Actions","Is Available under the Impacted Services?"
"FluidRelay Server","Outdated client library","2027-07-01","https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/version-compatibility","Yes"
"Application gateway","V1","2026-04-28","https://azure.microsoft.com/updates?id=application-gateway-v1-will-be-retired-on-28-april-2026-transition-to-application-gateway-v2","Yes"
"Virtual machine","Standard_M192ids_v2","2027-03-31","https://azure.microsoft.com/updates?id=community-support-for-standardm192idsv2-is-ending-on-31-march-2027","Yes"
"FHIR service","SMART on FHIR proxy","2026-09-21","https://azure.microsoft.com/updates?id=smart-on-fhir-proxy-feature-in-azure-health-data-services-will-be-retired-on-21st-september-2026-transition-to-smart-on-fhir","Yes"
"Front Door Profile","Standard from Microsoft (classic)","2027-09-30","https://azure.microsoft.com/updates?id=Azure-CDN-Standard-from-Microsoft-classic-will-be-retired-on-30-September-2027","Yes"
"Virtual network gateway","Non-AZ VPNs","2026-09-30","https://azure.microsoft.com/updates?id=vpngw1-5-non-az-skus-will-be-retired-on-30-september-2026","Yes"
"Load balancer","Inbound NAT rule V1","2027-09-30","https://azure.microsoft.com/updates?id=Retirement-notice-Azure-Load-Balancer-Inbound-NAT-rule-V1-for-Azure-VMs-and-Azure-VMSS-will-be-retired","Yes"
"Application gateway","WAF v2 Config","2027-03-31","https://learn.microsoft.com/azure/web-application-firewall/ag/upgrade-ag-waf-policy?tabs=portal#upgrade-waf-v2-with-legacy-waf-configuration-to-waf-policy","Yes"
"Availability test","Single URL Ping Test","2026-09-30","https://azure.microsoft.com/updates?id=transition-to-using-standard-tests-for-singlestep-availability-testing-in-azure-monitor-application-insights-by-30-september","Yes"
"Automation account","State Configuration (DSC)","2027-09-30","https://azure.microsoft.com/updates/v2/Planned-Service-Retirement-Azure-Automation-State-Configuration-16-September-2027","No"
"Azure Maps Account","Web SDK Map Controls v1.xx","2026-09-19","https://azure.microsoft.com/updates/azure-maps-web-sdk-map-controls-version-1xx-will-be-retired-on-19-september-2026/","No"
"Azure Sphere Catalog","Public API","2027-09-26","https://azure.microsoft.com/updates/v2/Azure-Sphere-Legacy-Interface-Retirement","No"
"Subscription","Azure Virtual Desktop Classic","2026-09-30","https://learn.microsoft.com/azure/virtual-desktop/virtual-desktop-fall-2019/classic-retirement","No"
"Cognitive Service","Studio v2.1","2027-09-15","https://azure.microsoft.com/updates/v2/Azure-Docuement-Intelligence-V2-retirement","No"
"Log Analytics workspace","HTTP Data Collector API","2026-09-14","https://learn.microsoft.com/azure/azure-monitor/logs/custom-logs-migrate","No"
"Kubernetes - Azure Arc","Open Service Mesh add-on","2027-09-30","https://azure.microsoft.com/updates/v2/open-service-mesh-extension-for-aks-retirement","No"
"Front Door Web Application Firewall policy","Classic","2027-03-31","https://azure.microsoft.com/updates/azure-front-door-classic-will-be-retired-on-31-march-2027/","No"
"App service","In-process model","2026-11-10","https://azure.microsoft.com/updates/retirement-support-for-the-inprocess-model-for-net-apps-in-azure-functions-ends-10-november-2026/","No"
"Recovery Services vault","Classic Alerts","2027-09-22","https://azure.microsoft.com/updates/v2/azure-site-recovery-classic-alerts-retirement","No"
"Api Management","Built-in Analytics","2027-03-31","https://azure.microsoft.com/updates/begin-using-azure-monitor-based-dashboards-in-azure-api-management-before-the-builtin-analytics-dashboards-are-retired-on-15/","No"
"App service","Version 1.x runtime","2026-09-14","https://azure.microsoft.com/updates/support-for-the-1x-version-of-azure-functions-ends-14-september-2026/","No"
"Subscription","HPC Pack 2016","2027-01-12","https://azure.microsoft.com/updates/hpc-pack-2016-will-be-retired-on-12-january-2027/","No"
"Container registry","2017-01-01-(GA) API","2026-09-30","https://azure.microsoft.com/updates/we-re-ending-support-for-the-20170301ga-api/","No"
